taskID,trialIndex,trialStart,trialEnd,RT,choice,correct,initDirection,endDirection,presenceCP,coherence,viewingDuration,probCP,timeCP,randSeedBase,fixationOn,fixationStart,targetOn,dotsOn,dotsOff,choiceTime,targetOff,fixationOff,feedbackOn,numFrames,tocDotsOn,tocDotsOff
2,711,1211747.22472293,1211751.07398914,0.922690368723124,0,0,0,0,0,12,0.5,0.5,0.2,4780,0.134843363659456,NaN,0.778911160305142,1.27043658401817,1.77891116030514,2.70160152902827,NaN,NaN,NaN,36,1.239427882,1.752591469
2,772,1211751.07678578,1211754.46391295,0.594345313962549,1,1,180,0,1,12,0.5,0.5,0.2,4198,0.129934227326885,NaN,0.774002023972571,1.096035922179,1.63904463895597,2.23338995291851,NaN,NaN,NaN,37,1.07286912,1.603596644
2,450,1211754.46670632,1211758.78431556,0.747361606452614,1,0,180,180,0,24,0.3,0.5,0.2,1182,0.130058618728071,NaN,0.892770483158529,2.11310946615413,2.41609632107429,3.16345792752691,NaN,NaN,NaN,24,2.081042242,2.383954308
2,153,1211758.78697082,1211763.42137738,1.53061633510515,1,0,0,180,1,48,0.3,0.5,0.2,2209,0.130364478565753,NaN,1.28290685149841,1.62188990227878,1.96087295305915,3.4914892881643,NaN,NaN,NaN,25,1.60403242,1.933557272
2,869,1211763.42417249,1211769.56020401,NaN,NaN,NaN,0,180,1,24,0.3,0.5,0.2,5028,0.137230802327394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
2,183,1211769.56600499,1211775.71591311,NaN,NaN,NaN,0,0,0,12,0.1,0.5,0.2,543,0.130991128040478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
2,130,1211775.71882014,1211781.87224306,NaN,NaN,NaN,180,180,0,48,0.1,0.5,0.2,7619,0.130645777331665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
2,108,1211781.87527241,1211788.0090092,NaN,NaN,NaN,180,180,0,60,0.4,0.5,0.2,3394,0.126739178551361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
2,841,1211788.01195163,1211794.15023579,NaN,NaN,NaN,0,0,0,0,0.1,0.5,0.2,8863,0.125653353985399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
2,719,1211794.15344173,1211800.29043415,NaN,NaN,NaN,0,0,0,60,0.5,0.5,0.2,1156,0.136705853743479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
2,427,1211800.29323218,1211806.44269836,NaN,NaN,NaN,0,0,0,36,0.1,0.5,0.2,4468,0.132508277893066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
2,694,1211806.44700904,1211809.95051808,0.677818651776761,1,1,180,0,1,48,0.3,0.5,0.2,5105,0.131274158600718,NaN,1.02957924338989,1.35161314159632,1.67364704003558,2.35146569181234,NaN,NaN,NaN,24,1.319869962,1.645660621
2,588,1211809.95319013,1211814.38765125,0.609498678008094,0,1,180,180,0,60,0.4,0.5,0.2,6126,0.133566203527153,NaN,1.03187128831632,2.25221027131192,2.67547404719517,3.28497272520326,NaN,NaN,NaN,31,2.227087242,2.643437828
2,675,1211814.39034343,1211818.40803169,0.633559296606109,1,1,0,0,0,12,0.2,0.5,0.2,2263,0.136627154657617,NaN,1.01798308687285,2.03493223921396,2.23832206986845,2.87188136647455,NaN,NaN,NaN,17,2.002861463,2.209376761
2,186,1211818.41085077,1211822.22684552,1.12681899312884,1,0,180,180,0,24,0.1,0.5,0.2,8813,0.133069128496572,NaN,1.08222167077474,1.42120472155511,1.54069150215946,2.6675104952883,NaN,NaN,NaN,11,1.398936283,1.508607101
2,533,1211822.22964133,1211826.36612732,1.12718775682151,1,0,0,180,1,24,0.5,0.5,0.2,947,0.128679956309497,NaN,0.908340973081067,1.33206978673115,1.85749351559207,2.98468127241358,NaN,NaN,NaN,37,1.30260598,1.826346316
2,226,1211826.36897725,1211830.30260049,0.438721566926688,0,1,180,180,0,48,0.4,0.5,0.2,2373,0.124937288695946,NaN,0.972394915763289,1.92253589816391,2.34262527502142,2.78134684194811,NaN,NaN,NaN,30,1.898773251,2.307565577
2,197,1211830.30529353,1211834.75716839,0.902037345338613,0,0,0,0,0,24,0.2,0.5,0.2,9091,0.135122622828931,NaN,0.96563109732233,2.18597008055076,2.40679116873071,3.30882851406932,NaN,NaN,NaN,18,2.163222492,2.374541577
2,748,1211834.75998584,1211839.4112963,1.28003237117082,1,0,180,180,0,12,0.3,0.5,0.2,7482,0.121590110706165,NaN,0.850403669988737,1.91820028005168,2.22228411026299,3.50231648143381,NaN,NaN,NaN,24,1.887681483,2.189844659
2,182,1211839.4139538,1211842.42710656,0.533357382984832,1,0,180,180,0,0,0.1,0.5,0.2,2536,0.127597422804683,NaN,0.94115674495697,1.2123431856744,1.33098725345917,1.864344636444,NaN,NaN,NaN,11,1.195688313,1.305788009
2,416,1211842.429888,1211846.01772644,0.778283062623814,1,1,180,0,1,36,0.5,0.5,0.2,4308,0.128661948023364,NaN,0.823577202390879,1.12866194802336,1.65408567688428,2.43236873950809,NaN,NaN,NaN,38,1.096064523,1.626006893
2,64,1211846.02035842,1211849.83820945,0.575853071175516,1,0,180,180,0,12,0.1,0.5,0.2,1752,0.131053093355149,NaN,0.775120890000835,1.99545987299643,2.09814083739184,2.67399390856735,NaN,NaN,NaN,12,1.967584628,2.072142004
2,393,1211849.84112008,1211853.4722459,0.775985766900703,0,1,0,180,1,48,0.3,0.5,0.2,649,0.14178549265489,NaN,0.938395662233233,1.36212447588332,1.70110752666369,2.47709329356439,NaN,NaN,NaN,26,1.341845561,1.67085577
2,615,1211853.47493054,1211856.32971971,0.427623656578362,1,1,0,0,0,12,0.2,0.5,0.2,5030,0.135082717053592,NaN,0.711353903636336,1.06728610699065,1.28762508998625,1.71524874656461,NaN,NaN,NaN,18,1.048730995,1.256399827
2,527,1211856.3325306,1211859.78182116,0.471996737876907,0,1,0,180,1,60,0.4,0.5,0.2,448,0.124949946533889,NaN,0.735119438264519,1.39613638725132,1.83386729494669,2.30586403282359,NaN,NaN,NaN,32,1.369934245,1.801636251
2,440,1211859.78473817,1211863.98301608,0.86736834095791,1,0,180,180,0,36,0.2,0.5,0.2,6793,0.127398769138381,NaN,0.754517413210124,1.97485639620572,2.17824622662738,3.04561456758529,NaN,NaN,NaN,18,1.947364822,2.152402144
2,104,1211863.98571016,1211868.03832723,1.17505039228126,0,1,180,180,0,36,0.4,0.5,0.2,9482,0.129802075913176,NaN,0.790819025132805,1.3165271426551,1.72546710213646,2.90051749441773,NaN,NaN,NaN,30,1.289996231,1.704594356
2,477,1211868.04098886,1211872.17387977,0.521513700252399,0,1,0,180,1,48,0.5,0.5,0.2,3014,0.128782178973779,NaN,0.738951670471579,1.95929065346718,2.46776522975415,2.98927893000655,NaN,NaN,NaN,36,1.930986348,2.438132683
2,716,1211872.17652821,1211875.71374082,0.670377307571471,0,0,180,0,1,36,0.5,0.5,0.2,9381,0.13005934166722,NaN,0.723279680591077,1.18115991191007,1.71930888993666,2.38968619750813,NaN,NaN,NaN,38,1.155554759,1.687338892
2,531,1211875.71640027,1211879.70019499,0.688267648685724,1,0,0,180,1,12,0.5,0.5,0.2,2801,0.14553486998193,NaN,0.806551819201559,1.62011114112101,2.14553486998193,2.83380251866765,NaN,NaN,NaN,37,1.597269439,2.117573517
2,888,1211879.70292317,1211883.85382277,0.552239227574319,0,1,180,180,0,60,0.4,0.5,0.2,9605,0.125157842645422,NaN,0.803123944438994,2.02346292743459,2.44719174108468,2.999430968659,NaN,NaN,NaN,31,2.005435596,2.417594763
2,573,1211883.8566649,1211887.08976918,0.630740551743656,1,1,0,0,0,48,0.3,0.5,0.2,6732,0.140909445937723,NaN,0.751078937435523,1.15785859851167,1.46294334414415,2.09368389588781,NaN,NaN,NaN,23,1.130356556,1.433397937
